region,maker,model,national,local,convNational,convLocal
구리시,테슬라코리아,Model 3 Performance,2000000,1000000,400000,120000
구리시,테슬라코리아,Model 3 Premium Long Range RWD,4200000,2100000,840000,250000
구리시,테슬라코리아,Model 3 Premium Long Range RWD(5999만원),2100000,1050000,420000,130000
구리시,테슬라코리아,Model 3 RWD,1680000,840000,340000,100000
구리시,테슬라코리아,Model 3 RWD(2025),1680000,840000,340000,100000
구리시,테슬라코리아,Model Y L AWD,2150000,1050000,430000,130000
구리시,테슬라코리아,Model Y Long Range(2025),2100000,1050000,420000,130000
구리시,테슬라코리아,Model Y Premium Long Range,2100000,1050000,420000,130000
구리시,테슬라코리아,Model Y Premium RWD,1700000,850000,340000,100000
구리시,테슬라코리아,Model Y RWD(2025),1700000,850000,340000,100000
구리시,폭스바겐그룹코리아,ID.4 Pro,4320000,2160000,860000,260000
구리시,폭스바겐그룹코리아,Q4 45 e-tron,2060000,1030000,410000,120000
구리시,폭스바겐그룹코리아,Q4 Sportback 45 e-tron,2060000,1030000,410000,120000
구리시,폭스바겐그룹코리아,(단종)Q6 e-tron performance,2200000,1100000,440000,130000
구리시,폭스바겐그룹코리아,iD.5 Pro,4730000,2360000,950000,290000
구리시,폴스타오토모티브코리아,Polestar 4 Coupe Dual Motor,1680000,840000,340000,100000
구리시,폴스타오토모티브코리아,Polestar 4 Coupe Rear Motor,1810000,900000,360000,110000
구리시,현대자동차,ELECTRIFIED G80,2700000,1350000,540000,160000
구리시,현대자동차,ELECTRIFIED GV70 AWD 19인치,2610000,1300000,520000,160000
구리시,현대자동차,ELECTRIFIED GV70 AWD 20인치,2450000,1220000,490000,150000
구리시,현대자동차,GV60 스탠다드 2WD 19인치,2850000,1420000,570000,170000
구리시,현대자동차,GV60 스탠다드 AWD 19인치,2720000,1360000,540000,160000
구리시,현대자동차,GV60 스탠다드 AWD 20인치,2610000,1300000,520000,160000
구리시,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치,5640000,2820000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,5670000,2830000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 20인치,5590000,2790000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 N라인 20인치,5410000,2700000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉5 2WD 스탠다드 19인치,4830000,2410000,970000,290000
구리시,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 19인치,5580000,2790000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 20인치,5320000,2660000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 N라인 20인치,5100000,2550000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 18인치,5700000,2850000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 20인치,5700000,2850000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 N라인 20인치,5700000,2850000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉6 2WD 스탠다드 18인치,5600000,2800000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 18인치,5700000,2850000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 20인치,5530000,2760000,1000000,300000
구리시,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 N라인 20인치,5370000,2680000,1000000,300000
구리시,현대자동차,스타리아 라운지 일렉트릭 7인승,2290000,1140000,460000,140000
구리시,현대자동차,스타리아 리무진 일렉트릭 6인승,2290000,1140000,460000,140000
구리시,현대자동차,아이오닉6 N,2500000,1250000,500000,150000
구리시,현대자동차,아이오닉9 성능형 AWD,2720000,1360000,540000,160000
구리시,현대자동차,아이오닉9 항속형 2WD,2740000,1370000,550000,170000
구리시,현대자동차,아이오닉9 항속형 AWD,2710000,1350000,540000,160000
구리시,현대자동차,캐스퍼 일렉트릭 기본형 15인치,4900000,2450000,980000,290000
구리시,현대자동차,캐스퍼 일렉트릭 크로스 17인치,4870000,2430000,970000,290000
구리시,현대자동차,캐스퍼 일렉트릭 항속형 15인치,4900000,2450000,980000,290000
구리시,현대자동차,캐스퍼 일렉트릭 항속형 17인치(라운지포함),4900000,2450000,980000,290000
구리시,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,5140000,2570000,1000000,300000
구리시,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치 빌트인 캠 미적용,5140000,2570000,1000000,300000
구리시,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치,4590000,2290000,920000,280000
구리시,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,4370000,2180000,870000,260000
남양주시,BMW,MINI Aceman E,4000000,1200000,800000,240000
남양주시,BMW,MINI Aceman SE,4000000,1200000,800000,240000
남양주시,BMW,MINI Cooper SE,3960000,1180000,790000,240000
남양주시,BMW,MINI Countryman E,2170000,650000,430000,130000
남양주시,BMW,MINI Countryman SE ALL4,2030000,600000,410000,120000
남양주시,BMW,MINI JCW Aceman E,1970000,590000,390000,120000
남양주시,BMW,MINI JCW E,1910000,570000,380000,110000
남양주시,BMW,i4 M60 LCI (71HD),2330000,690000,470000,140000
남양주시,BMW,i4 eDrive 40 LCI(21HD),2440000,730000,490000,150000
남양주시,BMW,i4 eDrive 40 LCI(61HD),2560000,760000,510000,150000
남양주시,BMW,i5 eDrive 40,2620000,780000,520000,160000
남양주시,BMW,iX1 eDrive20,2120000,630000,420000,130000
남양주시,BMW,iX1 eDrive20(11HM),2350000,700000,470000,140000
남양주시,BMW,iX1 xDrive30,1920000,570000,380000,110000
남양주시,BMW,iX2 eDrive20,2140000,640000,430000,130000
남양주시,BMW,iX2 eDrive20(71GN),2390000,710000,480000,140000
남양주시,BMW,iX3 50 xDrive,2750000,820000,550000,170000
남양주시,기아,EV3 GT,2480000,740000,500000,150000
남양주시,기아,EV3 롱레인지 2WD 17인치,5550000,1660000,1000000,300000
남양주시,기아,EV3 롱레인지 2WD 19인치,5550000,1660000,1000000,300000
남양주시,기아,EV3 롱레인지 4WD 19인치,5390000,1610000,1000000,300000
남양주시,기아,EV3 스탠다드 2WD,4690000,1400000,940000,280000
남양주시,기아,EV4 GT,2550000,760000,510000,150000
